"Author","Article","weight"
"140086","1265529",1
"140086","1334382",1
"1402071","1545103",3
"1402201","1522362",1
"1402453","1522535",1
"1403148","1559214",1
"1403148","1559395",1
"1403148","1567686",1
"1403148","1594114",1
"1403148","1675646",1
"1403438","1643135",1
"1403457","1693772",1
"1403865","1576024",1
"1403865","1614745",1
"1406538","1526872",2
"1407788","1646627",1
"1407789","1564901",1
"140783","1087420",1
"140783","1087439",1
"140783","1087445",1
"140783","1109113",1
"1408522","1650597",1
"1409189","1702485",1
"1409393","1640032",1
"1410758","1532027",1
"1411150","1531942",1
"1411151","1531942",1
"1411153","1531942",1
"1411165","1539211",1
"1411165","1618968",1
"1411342","1532116",1
"1411716","1592045",1
"1411821","1594764",2
"1411821","1600250",7
"1411821","1600597",1
"1411821","1600627",1
"1411821","1600629",1
"1411821","1610011",1
"1411821","1610015",1
"1411821","1610016",1
"1411821","1683980",1
"141184","1546899",3
"141184","1546904",1
"1411844","1724576",1
"1412063","1557849",1
"141248","951874",1
"141248","951875",1
"141248","955430",1
"1413075","1551756",1
"1413075","1551758",1
"141325","1138673",1
"141326","1138673",1
"1413453","1541940",1
"1415350","1548437",1
"1415491","1578850",1
"1415633","1580667",1
"1416825","1662651",1
"1416825","1662809",1
"1416825","1664286",1
"141877","1157220",1
"1418951","1595157",1
"1419786","1541908",1
"1419987","1543927",1
"1419987","1551008",1
"1420062","1626129",1
"1420392","1726342",1
"1420392","1726423",1
"1420711","1510398",2
"1420711","1542897",1
"1420714","1542702",1
"142073","1009845",1
